Workflow,Ambiente,Repeticao,Tempo_Segundos,Memoria_Pico_MB,Status
Gráfico de Dispersão,Python,3,1.410578966140747,58.83203125,SUCESSO
Gráfico de Dispersão,Python,4,0.8759782314300537,58.7578125,SUCESSO
Gráfico de Dispersão,Python,5,0.8349118232727051,58.70703125,SUCESSO
Gráfico de Dispersão,Python,6,0.9250588417053223,59.00390625,SUCESSO
Gráfico de Dispersão,Python,7,0.889556884765625,59.2265625,SUCESSO
Gráfico de Dispersão,Python,8,0.9648962020874023,58.921875,SUCESSO
Gráfico de Dispersão,Python,9,0.8545846939086914,59.0078125,SUCESSO
Gráfico de Dispersão,Python,10,1.3601059913635254,58.86328125,SUCESSO
Gráfico de Dispersão,VisTrails,1,9.281000137329102,8.73828125,SUCESSO
Gráfico de Dispersão,VisTrails,2,9.311000108718872,8.73828125,SUCESSO
Gráfico de Dispersão,VisTrails,3,9.350000143051147,8.734375,SUCESSO
Gráfico de Dispersão,VisTrails,4,9.001999855041504,8.73828125,SUCESSO
Gráfico de Dispersão,VisTrails,5,9.26200008392334,8.734375,SUCESSO
Gráfico de Dispersão,VisTrails,6,9.52400016784668,8.734375,SUCESSO
Gráfico de Dispersão,VisTrails,7,9.170000076293945,8.73828125,SUCESSO
Gráfico de Dispersão,VisTrails,8,9.240000009536743,8.734375,SUCESSO
Gráfico de Dispersão,VisTrails,9,9.228000164031982,8.73828125,SUCESSO
Gráfico de Dispersão,VisTrails,10,9.28600001335144,8.73828125,SUCESSO
Gráfico de Barras,Python,1,1.389014720916748,58.6015625,SUCESSO
Gráfico de Barras,Python,2,0.8633589744567871,58.99609375,SUCESSO
Gráfico de Barras,Python,3,1.8782732486724854,58.93359375,SUCESSO
Gráfico de Barras,Python,4,0.83113694190979,58.67578125,SUCESSO
Gráfico de Barras,Python,5,0.8804666996002197,58.7421875,SUCESSO
Gráfico de Barras,Python,6,1.0695762634277344,58.6796875,SUCESSO
Gráfico de Barras,Python,7,1.456279993057251,58.640625,SUCESSO
Gráfico de Barras,Python,8,0.8931012153625488,58.6953125,SUCESSO
Gráfico de Barras,Python,9,0.825279712677002,58.63671875,SUCESSO
Gráfico de Barras,Python,10,0.8652782440185547,58.515625,SUCESSO
Gráfico de Barras,VisTrails,1,9.441999912261963,8.73828125,SUCESSO
Gráfico de Barras,VisTrails,2,9.621000051498413,8.734375,SUCESSO
Gráfico de Barras,VisTrails,3,9.31000018119812,8.734375,SUCESSO
Gráfico de Barras,VisTrails,4,9.763999938964844,8.73828125,SUCESSO
Gráfico de Barras,VisTrails,5,8.950000047683716,8.734375,SUCESSO
Gráfico de Barras,VisTrails,6,9.314000129699707,8.73828125,SUCESSO
Gráfico de Barras,VisTrails,7,8.940000057220459,8.73828125,SUCESSO
Gráfico de Barras,VisTrails,8,9.435999870300293,8.734375,SUCESSO
Gráfico de Barras,VisTrails,9,9.286999940872192,8.73828125,SUCESSO
Gráfico de Barras,VisTrails,10,9.370000123977661,8.734375,SUCESSO
Gráfico Histograma,Python,1,0.9794104099273682,59.01953125,SUCESSO
Gráfico Histograma,Python,2,0.8555982112884521,58.859375,SUCESSO
Gráfico Histograma,Python,3,0.8845877647399902,58.5234375,SUCESSO
Gráfico Histograma,Python,4,0.884305477142334,58.796875,SUCESSO
Gráfico Histograma,Python,5,0.8701896667480469,58.6875,SUCESSO
Gráfico Histograma,Python,6,0.8646931648254395,58.81640625,SUCESSO
Gráfico Histograma,Python,7,0.9455394744873047,58.75,SUCESSO
Gráfico Histograma,Python,8,0.8794331550598145,59.18359375,SUCESSO
Gráfico Histograma,Python,9,0.855156421661377,58.8671875,SUCESSO
Gráfico Histograma,Python,10,0.8492765426635742,58.6796875,SUCESSO
Gráfico Histograma,VisTrails,1,9.496000051498413,8.73046875,SUCESSO
Gráfico Histograma,VisTrails,2,9.47100019454956,8.734375,SUCESSO
Gráfico Histograma,VisTrails,3,9.32800006866455,8.73828125,SUCESSO
Gráfico Histograma,VisTrails,4,10.432999849319458,8.734375,SUCESSO
Gráfico Histograma,VisTrails,5,9.461999893188477,8.734375,SUCESSO
Gráfico Histograma,VisTrails,6,9.338000059127808,8.734375,SUCESSO
Gráfico Histograma,VisTrails,7,9.591000080108643,8.73828125,SUCESSO
Gráfico Histograma,VisTrails,8,9.329999923706055,8.734375,SUCESSO
Gráfico Histograma,VisTrails,9,9.631999969482422,8.734375,SUCESSO
Gráfico Histograma,VisTrails,10,9.404000043869019,8.734375,SUCESSO
API: Manipulação Saídas,Python,1,0.0490572452545166,8.69921875,SUCESSO
API: Manipulação Saídas,Python,2,0.060425519943237305,8.953125,SUCESSO
API: Manipulação Saídas,Python,3,0.05592060089111328,8.0,SUCESSO
API: Manipulação Saídas,Python,4,0.047371625900268555,8.53515625,SUCESSO
API: Manipulação Saídas,Python,5,0.053072214126586914,9.05078125,SUCESSO
API: Manipulação Saídas,Python,6,0.04199814796447754,4.98046875,SUCESSO
API: Manipulação Saídas,Python,7,0.05734586715698242,9.20703125,SUCESSO
API: Manipulação Saídas,Python,8,0.0692605972290039,8.140625,SUCESSO
API: Manipulação Saídas,Python,9,0.050948143005371094,9.01953125,SUCESSO
API: Manipulação Saídas,Python,10,0.04524827003479004,8.28515625,SUCESSO
API: Manipulação Saídas,VisTrails,1,0.9110000133514404,8.734375,SUCESSO
API: Manipulação Saídas,VisTrails,2,0.9029998779296875,8.734375,SUCESSO
API: Manipulação Saídas,VisTrails,3,0.9290001392364502,8.734375,SUCESSO
API: Manipulação Saídas,VisTrails,4,0.8880000114440918,8.734375,SUCESSO
API: Manipulação Saídas,VisTrails,5,0.8829998970031738,8.734375,SUCESSO
API: Manipulação Saídas,VisTrails,6,0.8970000743865967,8.734375,SUCESSO
API: Manipulação Saídas,VisTrails,7,0.9600000381469727,8.73828125,SUCESSO
API: Manipulação Saídas,VisTrails,8,0.8899998664855957,8.73046875,SUCESSO
API: Manipulação Saídas,VisTrails,9,0.937000036239624,8.734375,SUCESSO
API: Manipulação Saídas,VisTrails,10,0.9010000228881836,8.734375,SUCESSO
API: Escrita,Python,1,0.09755301475524902,9.9375,SUCESSO
API: Escrita,Python,2,0.06437015533447266,9.484375,SUCESSO
API: Escrita,Python,3,0.5792148113250732,9.671875,SUCESSO
